w_3,f_r analytic,Q analytic,f_r numeric,Q numeric
1,5932593705.62093,726.25508590976,5995586081.987202,4651.66244936862
2,5927499683.74315,1015.20993527272,5994784132.078369,6460.465408639025
3,5925491315.49489,1332.87824872349,5994433789.409812,8457.194015569052
4,5924526325.94863,1691.11950713968,5994245845.794714,10713.28420009249
5,5924016469.34076,2096.45974751396,5994133671.603299,13268.666435651221
6,5923732432.33682,2554.11269773076,5994061992.625305,16155.644813325562
7,5923569668.17452,3068.88330981905,5994013916.351326,19404.21738875693
8,5923475573.3,3645.46666232442,5993980465.309577,23043.825019357315
9,5923421813.43185,4288.57009553545,5993956504.373418,27104.061603534356
10,5923392344.29268,5002.97049225662,5993938928.779422,31615.001861799865
11,5923377731.64089,5793.54391130464,5993925777.929372,36607.37894700341
12,5923372265.30184,6665.28209811723,5993915769.250008,42112.67413311846
13,5923372412.00362,7623.30223453584,5993908038.908779,48163.17318009078
14,5923375949.37138,8672.85297322936,5993901990.462477,54792.00213223775
15,5923381463.74806,9819.31832049069,5993897203.235474,62033.15420737948
16,5923388050.29956,11068.2202176087,5993893375.040247,69921.47133721264
17,5923395129.44045,12425.2203056273,5993890285.0717745,78492.72692324963
18,5923402332.0906,13896.1211613291,5993887769.801346,87783.54904508068
19,5923409426.67482,15486.867181359,5993885706.419434,97831.48890354554
20,5923416271.98136,17203.5452265517,5993884001.660827,108674.9709572181
